screen_name	created_at	text	location	followers_count
torontodotcom	2021-02-08 17:57:07	"LIVE VIDEO: Premier expected to announce Ontario open for business again. @fordnation #COVID19
https://t.co/ORSzUdFCDM https://t.co/Op7ntFKKrw"	Toronto	67134
pratyush_pankaj	2021-02-08 17:57:06	"Right from the way it has handled the Covid crisis, to the vaccination drive, and now helping other countries - India is finally showing the way to the world.
@MakrandParanspe 
#IndiaOnTop #India #Vaccination #Proud #COVID19
https://t.co/SPKIXYa2Gd"	mother earth	8825
drdeblk	2021-02-08 17:57:05	<U+2066>@RandPaul<U+2069> is too selfish, self-centered, and self-righteous to even #WearADamnMask while his colleague #RonWright, GOP congressman, dies from #COVID19  https://t.co/vFw29I256Z	""	1243
drdeblk	2021-02-08 17:47:15	#Trump received #SocializedMedicine for his #COVID19 treatment. What about the rest of us? <U+2066>@HouseGOP<U+2069> <U+2066>@SenateGOP<U+2069>  https://t.co/MmYYrJB9zM	""	1243
WellnessPolicy	2021-02-08 17:57:04	No internet, no vaccine: How lack of internet access has limited vaccine availability for racial and ethnic minorities #COVID19 #VaccineEquity via @ConversationUS https://t.co/G9h0Y49PXo	Raleigh, NC	1360
awsmortgages1	2021-02-08 17:57:02	"What Would Negative Interest Rates mean for your Mortgage?

https://t.co/QwPmYxNDrU

#buytoletmortgagesinlondon #awsfinancialservice #stumpdutyholiday #mortgagesforcontractor #COVID19 #professionalmortgageservices #lender #property #contractormortgages #bank #interest #rates"	""	32
UN_SDG	2021-02-08 17:57:00	"With a 100 new @UN Country Teams websites around the<U+0001F30D> we are now able to:

<U+0001F449>reach more people
<U+0001F449>in more languages
<U+0001F449>share timely information &amp; stories
<U+0001F449>showcase the UN's collective work in tackling #COVID19

#ForPeopleForPlanet

Check out the new sites https://t.co/VbKZtWt2L6 https://t.co/kSy4kyOrQo"	New York, NY	26268
NicholeDWBZ	2021-02-08 17:57:00	If you're looking for #COVID19 vaccine appointments in Massachusetts, there's some available - check here to see if you are eligible: https://t.co/v1ZgKmsCMZ https://t.co/3UjL6AsEm3	Boston, MA	1792
HamOntComNews	2021-02-08 17:56:58	"LIVE VIDEO: Premier Doug Ford is holding a COVID-19 briefing today at 1 p.m. The premier is expected to announce plans to reopen the province following its state of emergency. To watch, click on the link below. #HamOnt #onpoli #COVID19

https://t.co/0fQGEITSKT https://t.co/7H2NbOeLkb"	""	1831
metaxblack	2021-02-08 17:56:52	@HouseGOP COVID19 kills. https://t.co/hsxskKsa2o	Limbo	28
yourtvwindsor	2021-02-08 17:56:45	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/OAGAmPEbfI"	Windsor, Ontario	2796
